log_id,spot_no,entry_time,exit_time,duration_hours
1,33,2025-01-28 23:41:00,2025-01-29 01:41:00,2
2,36,2025-01-13 19:50:00,2025-01-13 22:50:00,3
3,14,2025-01-27 11:23:00,2025-01-27 13:23:00,2
4,6,2025-01-16 01:34:00,2025-01-16 03:34:00,2
5,37,2025-01-02 15:07:00,2025-01-02 18:07:00,3
6,17,2025-01-25 11:00:00,2025-01-25 14:00:00,3
7,10,2025-01-19 20:14:00,2025-01-19 22:14:00,2
8,3,2025-01-25 18:20:00,2025-01-25 20:20:00,2
9,2,2025-01-10 18:23:00,2025-01-10 21:23:00,3
10,23,2025-01-23 20:57:00,2025-01-23 21:57:00,1
11,13,2025-01-26 07:52:00,2025-01-26 08:52:00,1
12,31,2025-01-09 12:32:00,2025-01-09 14:32:00,2
13,23,2025-01-05 10:02:00,2025-01-05 11:02:00,1
14,43,2025-01-07 02:16:00,2025-01-07 05:16:00,3
15,17,2025-01-03 23:05:00,2025-01-04 01:05:00,2
16,28,2025-01-28 17:54:00,2025-01-28 19:54:00,2
17,5,2025-01-30 02:20:00,2025-01-30 05:20:00,3
18,24,2025-01-22 01:16:00,2025-01-22 03:16:00,2
19,36,2025-01-24 20:34:00,2025-01-24 23:34:00,3
20,8,2025-01-20 15:03:00,2025-01-20 18:03:00,3
21,26,2025-01-05 18:53:00,2025-01-05 20:53:00,2
22,34,2025-01-01 20:35:00,2025-01-01 22:35:00,2
23,13,2025-01-25 13:04:00,2025-01-25 16:04:00,3
24,33,2025-01-02 10:46:00,2025-01-02 12:46:00,2
25,50,2025-01-28 13:55:00,2025-01-28 15:55:00,2
26,7,2025-01-21 18:02:00,2025-01-21 21:02:00,3
27,9,2025-01-01 13:11:00,2025-01-01 16:11:00,3
28,39,2025-01-24 23:39:00,2025-01-25 01:39:00,2
29,20,2025-01-20 05:10:00,2025-01-20 06:10:00,1
30,3,2025-01-12 00:26:00,2025-01-12 03:26:00,3
31,23,2025-01-30 10:18:00,2025-01-30 11:18:00,1
32,15,2025-01-10 19:22:00,2025-01-10 20:22:00,1
33,7,2025-01-13 17:47:00,2025-01-13 18:47:00,1
34,3,2025-01-25 17:24:00,2025-01-25 19:24:00,2
35,4,2025-01-23 18:11:00,2025-01-23 19:11:00,1
36,1,2025-01-29 08:59:00,2025-01-29 11:59:00,3
37,9,2025-01-02 12:49:00,2025-01-02 14:49:00,2
38,18,2025-01-24 19:49:00,2025-01-24 21:49:00,2
39,34,2025-01-09 10:35:00,2025-01-09 11:35:00,1
40,36,2025-01-27 17:52:00,2025-01-27 19:52:00,2
41,25,2025-01-27 10:54:00,2025-01-27 13:54:00,3
42,18,2025-01-27 20:14:00,2025-01-27 22:14:00,2
43,14,2025-01-19 19:26:00,2025-01-19 21:26:00,2
44,18,2025-01-23 11:45:00,2025-01-23 13:45:00,2
45,36,2025-01-16 20:53:00,2025-01-16 22:53:00,2
46,44,2025-01-24 06:15:00,2025-01-24 08:15:00,2
